City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,hammerfest,70.6634,23.6821,285.4,87,75,6.69,NO,1724102212
144,howrah,22.5892,88.3103,301.15,94,40,2.06,IN,1724102213
145,acarau,-2.8856,-40.12,298.64,80,10,8.35,BR,1724102213
146,tumut,-35.3,148.2167,281.29,89,9,1.85,AU,1724102214
147,puerto ayora,-0.7393,-90.3518,294.01,86,73,4.02,EC,1724102214
148,cascavel,-24.9558,-53.4553,301.93,30,0,2.57,BR,1724102214
149,jiagedaqi,50.4167,124.1167,282.81,73,6,1.33,CN,1724102215
150,dolores,-36.3132,-57.6792,280.08,78,100,6.07,AR,1724102215
151,malindi,-3.2175,40.1191,297.46,82,28,6.99,KE,1724102215
152,nar'yan-mar,67.6713,53.087,281.58,81,100,0.96,RU,1724102216
153,ciudad del carmen,18.6333,-91.8333,306.17,58,0,2.06,MX,1724102216
154,las khorey,11.1595,48.1967,305.62,58,60,4.63,SO,1724102216
155,bikenibeu village,1.3673,173.1241,302.13,84,75,2.06,KI,1724102217
156,kattivakkam,13.2167,80.3167,302.2,86,61,7.36,IN,1724102217
157,amos,48.5669,-78.1162,286.43,59,17,6.63,CA,1724102217
158,mhango,-3.2833,32.85,296.11,31,22,3.61,TZ,1724102218
159,nchelenge,-9.3451,28.734,294.48,39,1,3.02,ZM,1724102218
160,lompoc,34.6391,-120.4579,300.14,69,0,6.69,US,1724102219
161,nadi,-17.8,177.4167,301.15,57,20,4.12,FJ,1724102219
162,kuloy,61.0305,42.4925,287.19,84,94,2.0,RU,1724102219
163,keelung,25.1283,121.7419,300.01,90,100,1.17,TW,1724102220
164,saint-pierre,-21.3393,55.4781,293.97,56,0,9.26,RE,1724102220
165,aykhal,66.0,111.5,284.07,91,40,4.46,RU,1724102220
166,norton shores,43.1689,-86.2639,297.04,51,20,7.72,US,1724102117
167,homer,59.6425,-151.5483,286.36,72,0,9.39,US,1724102221
168,abdurahmoni jomi,37.9464,68.8088,295.31,78,20,0.0,TJ,1724102221
169,labytnangi,66.6572,66.4183,282.47,75,68,3.13,RU,1724102222
170,paso de carrasco,-34.8603,-56.0522,284.23,100,100,7.2,UY,1724102222
171,yaren,-0.5472,166.916,301.63,71,96,3.06,NR,1724102223
172,whangarei,-35.7317,174.3239,283.62,83,100,2.45,NZ,1724102223
